season,round,circuitId,driverId,constructorId,grid,qual_position,driver_points_last3,constructor_points_last3,driver_podiums_last3,driver_finishpos_last3,constructor_podiums_last3,driver_track_avg_finish,driver_track_podium_rate,constructor_track_avg_finish,constructor_track_podium_rate,driver_constructor_avg_finish,driver_constructor_podium_rate,grid_inverse,podium
2022,1,bahrain,albon,williams,14,14.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.07142857142857142,0
2022,1,bahrain,alonso,alpine,8,8.0,0.0,6.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.125,0
2022,1,bahrain,bottas,alfa,6,6.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.16666666666666666,0
2022,1,bahrain,gasly,alphatauri,10,10.0,0.0,4.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.1,0
2022,1,bahrain,hamilton,mercedes,5,5.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.2,1
2022,1,bahrain,hulkenberg,aston_martin,17,17.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.058823529411764705,0
2022,1,bahrain,kevin_magnussen,haas,7,7.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.14285714285714285,0
2022,1,bahrain,latifi,williams,20,20.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,13.0,0.0,10.489662676822633,0.0,0.05,0
2022,1,bahrain,leclerc,ferrari,1,1.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,1.0,1
2022,1,bahrain,max_verstappen,red_bull,2,2.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.5,0
2022,1,bahrain,mick_schumacher,haas,12,12.0,0.0,10.0,0.0,0.0,0.0,10.489662676822633,0.0,5.0,0.0,10.489662676822633,0.0,0.08333333333333333,0
2022,1,bahrain,norris,mclaren,13,13.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,10.489662676822633,0.0,0.07692307692307693,0
2022,1,bahrain,ocon,alpine,11,11.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,9.0,0.0,10.489662676822633,0.0,0.09090909090909091,0
2022,1,bahrain,perez,red_bull,4,4.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,19.0,0.0,10.489662676822633,0.0,0.25,0
2022,1,bahrain,ricciardo,mclaren,18,18.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,15.0,0.0,10.489662676822633,0.0,0.05555555555555555,0
2022,1,bahrain,russell,mercedes,9,9.0,0.0,15.0,0.0,0.0,1.0,10.489662676822633,0.0,3.0,1.0,10.489662676822633,0.0,0.1111111111111111,0
2022,1,bahrain,sainz,ferrari,3,3.0,0.0,26.0,0.0,0.0,1.0,10.489662676822633,0.0,1.0,1.0,10.489662676822633,0.0,0.3333333333333333,1
2022,1,bahrain,stroll,aston_martin,19,19.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,17.0,0.0,10.489662676822633,0.0,0.05263157894736842,0
2022,1,bahrain,tsunoda,alphatauri,16,16.0,0.0,0.0,0.0,0.0,0.0,10.489662676822633,0.0,20.0,0.0,10.489662676822633,0.0,0.0625,0
2022,1,bahrain,zhou,alfa,15,15.0,0.0,8.0,0.0,0.0,0.0,10.489662676822633,0.0,6.0,0.0,10.489662676822633,0.0,0.06666666666666667,0
2022,2,jeddah,albon,williams,16,17.0,0.0,0.0,0.0,13.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,13.0,0.0,0.0625,0
2022,2,jeddah,alonso,alpine,7,7.0,2.0,5.333333333333333,0.0,9.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,9.0,0.0,0.14285714285714285,0
2022,2,jeddah,bottas,alfa,8,8.0,8.0,3.0,0.0,6.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,6.0,0.0,0.125,0
2022,2,jeddah,gasly,alphatauri,9,9.0,0.0,2.0,0.0,20.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,20.0,0.0,0.1111111111111111,0
2022,2,jeddah,hamilton,mercedes,15,16.0,15.0,12.333333333333334,1.0,3.0,0.3333333333333333,10.489662676822633,0.0,10.489662676822633,0.0,3.0,1.0,0.06666666666666667,0
2022,2,jeddah,hulkenberg,aston_martin,17,18.0,0.0,0.0,0.0,17.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,17.0,0.0,0.058823529411764705,0
2022,2,jeddah,kevin_magnussen,haas,10,10.0,10.0,5.0,0.0,5.0,0.0,10.489662676822633,0.0,10.489662676822633,0.0,5.0,0.0,0.1,0
